ticker,strategy,total_return,net_total_return,annualized_volatility,sharpe_ratio,max_drawdown,win_rate,profit_factor,num_trades,avg_transaction_cost,rebalance_frequency
MSFT,delta_neutral,0.0811046427240878,0.08105581743119479,0.09671756804519782,2.1007742411129766,-0.039915576468985275,0.5959595959595959,1.4037642138552437,99,0.004931847766970411,daily
MSFT,gamma_scaled,0.05687153210721996,0.056792323596141364,0.044327864106376264,3.1978872031508607,-0.011909812906599076,0.5959595959595959,1.716549471574324,99,0.008000859704908119,daily
AMZN,delta_neutral,0.0527121148718348,0.052644088290122515,0.14121412516169182,0.9959754879412774,-0.09049818634505308,0.5151515151515151,1.1846239724397107,99,0.006871371890130123,daily
AMZN,gamma_scaled,0.01503484621228024,0.014894968701699906,0.2132323222128852,0.28799072665291225,-0.13062893412531795,0.5252525252525253,1.1080837298829112,99,0.014129041472761018,daily
TSLA,delta_neutral,0.023121933413797535,0.023008562930284818,0.2314987296786644,0.3655026019834573,-0.15570802494515135,0.5151515151515151,1.0644097904432641,99,0.011451563991183585,daily
TSLA,gamma_scaled,-0.3999806238807764,-0.40032937237878874,0.7208786929915405,-1.4148098368986153,-0.6052540990771779,0.5757575757575758,0.6063926046576518,99,0.03522712101134773,daily
GOOGL,delta_neutral,0.04088937392540415,0.04083065093192053,0.12943640834847708,0.8528067339372944,-0.0655197286323067,0.5555555555555556,1.1656778394652718,99,0.005931615503395517,daily
GOOGL,gamma_scaled,0.2188426980989595,0.21871814109501103,0.4008824128065198,1.4308771456737068,-0.0775954095942335,0.5555555555555556,2.563328105550046,99,0.012581515550350442,daily
AAPL,delta_neutral,0.040830870896318316,0.0407850806154337,0.09108778116937019,1.1635244827149644,-0.061653680169413326,0.5656565656565656,1.2054856551741606,99,0.004625280897436418,daily
AAPL,gamma_scaled,0.061095433704986046,0.06102250595861817,0.041209602238602434,3.6830194105159597,-0.015481483944953349,0.5858585858585859,1.816538710245261,99,0.007366439027058297,daily
